arc	type	trial_set	pos	date	huge	pattern	locale	heading_rad	species	predator	id	video
50	DoG	B18	1	21/05/2015	0	dog 50	Berlin	-0.28	Da	0	na	NA
50	DoG	B18	2	21/05/2015	0	dog 50	Berlin	-0.18	Da	0	na	NA
50	DoG	B18	3	21/05/2015	0	dog 50	Berlin	0.45	Da	0	na	NA
45	DoG	B19	1	20/05/2015	0	dog 45	Berlin	-1.47	Da	0	na	NA
45	DoG	B19	2	20/05/2015	0	dog 45	Berlin	-0.45	Da	0	na	NA
45	DoG	B19	3	20/05/2015	0	dog 45	Berlin	2.2	Da	0	na	NA
45	DoG	B19	4	20/05/2015	0	dog 45	Berlin	-2.34	Da	0	na	NA
45	DoG	B20	1	20/05/2015	0	dog 45	Berlin	-0.34	Da	0	na	NA
45	DoG	B20	2	20/05/2015	0	dog 45	Berlin	2.59	Da	0	na	NA
45	DoG	B20	3	20/05/2015	0	dog 45	Berlin	-2.69	Da	0	na	NA
45	DoG	B20	4	20/05/2015	0	dog 45	Berlin	2.83	Da	0	na	NA
45	DoG	B21	1	20/05/2015	0	dog 45	Berlin	-0.1	Da	0	na	NA
45	DoG	B21	2	20/05/2015	0	dog 45	Berlin	2.37	Da	0	na	NA
45	DoG	B21	3	20/05/2015	0	dog 45	Berlin	2.37	Da	0	na	NA
45	DoG	B21	4	20/05/2015	0	dog 45	Berlin	2.1	Da	0	na	NA
35	bar	B22	1	19/05/2015	0	bar 35	Berlin	0.47	Da	0	na	NA
35	bar	B22	2	19/05/2015	0	bar 35	Berlin	2.32	Da	0	na	NA
35	bar	B22	3	19/05/2015	0	bar 35	Berlin	-1.72	Da	0	na	NA
35	bar	B22	4	19/05/2015	0	bar 35	Berlin	-0.2	Da	0	na	NA
35	bar	B23	1	19/05/2015	0	bar 35	Berlin	-2.72	Da	0	na	NA
35	bar	B23	2	19/05/2015	0	bar 35	Berlin	-2.51	Da	0	na	NA
35	bar	B23	3	19/05/2015	0	bar 35	Berlin	-0.31	Da	0	na	NA
35	bar	B23	4	19/05/2015	0	bar 35	Berlin	-0.25	Da	0	na	NA
35	bar	B24	1	19/05/2015	0	bar 35	Berlin	-2.27	Da	0	na	NA
35	bar	B24	2	19/05/2015	0	bar 35	Berlin	-0.44	Da	0	na	NA
35	bar	B24	3	19/05/2015	0	bar 35	Berlin	-0.3	Da	0	na	NA
35	bar	B24	4	19/05/2015	0	bar 35	Berlin	0.23	Da	0	na	NA
35	bar	B25	1	19/05/2015	0	bar 35	Berlin	-0.45	Da	0	na	NA
35	bar	B25	2	19/05/2015	0	bar 35	Berlin	2.72	Da	0	na	NA
35	bar	B25	3	19/05/2015	0	bar 35	Berlin	-0.21	Da	0	na	NA
35	bar	B25	4	19/05/2015	0	bar 35	Berlin	0.13	Da	0	na	NA
25	DoG	B26	1	20/05/2015	0	dog 25	Berlin	-3.02	Da	0	na	NA
25	DoG	B26	2	20/05/2015	0	dog 25	Berlin	0.19	Da	0	na	NA
25	DoG	B26	3	20/05/2015	0	dog 25	Berlin	2.86	Da	0	na	NA
25	DoG	B26	4	20/05/2015	0	dog 25	Berlin	-1.11	Da	0	na	NA
25	DoG	B27	1	20/05/2015	0	dog 25	Berlin	0.77	Da	0	na	NA
25	DoG	B27	2	20/05/2015	0	dog 25	Berlin	-1.49	Da	0	na	NA
25	DoG	B27	3	20/05/2015	0	dog 25	Berlin	0.99	Da	0	na	NA
25	DoG	B27	4	20/05/2015	0	dog 25	Berlin	1.45	Da	0	na	NA
25	DoG	B28	1	20/05/2015	0	dog 25	Berlin	1.94	Da	0	na	NA
25	DoG	B28	2	20/05/2015	0	dog 25	Berlin	3.07	Da	0	na	NA
25	bar	B29	1	19/05/2015	0	bar 25	Berlin	-1.47	Da	0	na	NA
25	bar	B29	2	19/05/2015	0	bar 25	Berlin	0.24	Da	0	na	NA
25	bar	B29	3	19/05/2015	0	bar 25	Berlin	-3.04	Da	0	na	NA
25	bar	B29	4	19/05/2015	0	bar 25	Berlin	0	Da	0	na	NA
25	bar	B30	1	19/05/2015	0	bar 25	Berlin	1.56	Da	0	na	NA
25	bar	B30	2	19/05/2015	0	bar 25	Berlin	-1.57	Da	0	na	NA
25	bar	B30	3	19/05/2015	0	bar 25	Berlin	0.03	Da	0	na	NA
25	bar	B30	4	19/05/2015	0	bar 25	Berlin	-2.33	Da	0	na	NA
25	bar	B31	1	19/05/2015	0	bar 25	Berlin	2.66	Da	0	na	NA
25	bar	B31	3	19/05/2015	0	bar 25	Berlin	-0.21	Da	0	na	NA
25	bar	B32	1	19/05/2015	0	bar 25	Berlin	-2.39	Da	0	na	NA
25	bar	B32	2	19/05/2015	0	bar 25	Berlin	-0.2	Da	0	na	NA
25	bar	B32	3	19/05/2015	0	bar 25	Berlin	2.94	Da	0	na	NA
25	bar	B32	4	19/05/2015	0	bar 25	Berlin	2.29	Da	0	na	NA
15	bar	B33	1	19/05/2015	0	bar 15	Berlin	-0.76	Da	0	na	NA
15	bar	B33	2	19/05/2015	0	bar 15	Berlin	-0.97	Da	0	na	NA
15	bar	B33	3	19/05/2015	0	bar 15	Berlin	-2.17	Da	0	na	NA
15	bar	B33	4	19/05/2015	0	bar 15	Berlin	3.05	Da	0	na	NA
15	bar	B34	1	19/05/2015	0	bar 15	Berlin	-0.23	Da	0	na	NA
15	bar	B34	2	19/05/2015	0	bar 15	Berlin	-2.65	Da	0	na	NA
